place,title,time,pay,date
인천 중구,  홍콩반점0410 영종하늘도시점홍콩반점 영종하늘도시점에서 주말 마감 홀 아르바이트 구합니다.스크랩요약보기새창보기,시간협의,"시급8,720",45분전
서울 광진구,  더본코리아 홍콩반점0410 건대입구역건대입구 홍콩반점에서 홀서빙 직원을 모집합니다.스크랩요약보기새창보기,11:00~23:00,"월급2,350,000",47분전
대구 전체,  더본코리아 홍콩반점0410 대구월성점주방직원 채용합니다.스크랩요약보기새창보기,10:00~21:00,"월급2,400,000",47분전
서울 종로구,  인생설렁탕 종각역점[주/5일] 인생설렁탕 종각역점에서 주방 직원을 모집합니다.스크랩요약보기새창보기,10:00~22:00,"월급2,300,000",49분전
인천 중구,  더본코리아 홍콩반점0410 영종도운서운서역 홍콩반점0410에서 평일 점심 홀 아르바이트 구합니다스크랩요약보기새창보기,11:00~16:00,"시급8,720",49분전
전북 익산시,  롤링파스타 익산영등점롤링파스타 익산영등점 주방직원 구인스크랩요약보기새창보기,10:30~21:30,"월급2,150,000",51분전
경기 광명시,  더본코리아 홍콩반점0410 광명사거리홀 서빙 모집 홍콩반점 광명사거리스크랩요약보기새창보기,10:30~22:30,"월급2,500,000",52분전
서울 영등포,  더본코리아 홍콩반점0410 당산역점홍콩반점 당산 주방직원스크랩요약보기새창보기,10:00~21:30,"월급2,700,000",52분전
서울 광진구,  더본코리아 역전우동0410 강변역점역전우동0410강변역점 평일알바 모집스크랩요약보기새창보기,09:00~15:00,"시급8,720",55분전
서울 광진구,  더본코리아 역전우동0410 강변역점역전우동0410강변역점 평일알바 모집스크랩요약보기새창보기,09:00~15:00,"시급8,720",57분전
서울 광진구,  더본코리아 역전우동0410 강변역점역전우동0410강변역점 평일알바 모집스크랩요약보기새창보기,09:00~15:00,"시급8,720",57분전
부산 부산진,  더본코리아 홍콩반점0410 서면점홀파트타임 모집합니다.스크랩요약보기새창보기,11:30~15:30,"시급8,720",58분전
서울 구로구,  홍콩반점0410 고척동양대점(구로구 고척동) 홍콩반점 평일 오후 아르바이트 구인스크랩요약보기새창보기,16:30~19:30,"시급8,720",59분전
