place,title,time,pay,date
경기 용인시,  신세계푸드(주)신세계푸드 보노보노 죽전점 홀 저녁 18시30분~22시아르바이트모집스크랩요약보기새창보기,18:30~22:00,"시급10,000",04/04
서울 은평구,  노브랜드버거 연신내점노브랜드버거 연신내점 직원 모집스크랩요약보기새창보기,14:00~23:00,"시급8,900",04/03
서울 성북구,  노브랜드버거 종로구청점노브랜드버거 종로구청점 평일/주말 근무자 모집스크랩요약보기새창보기,시간협의,"시급8,900",04/03
서울 강남구,  노브랜드버거 대치대원빌딩점노브랜드버거 대치대원빌딩점 파트타이머 모집스크랩요약보기새창보기,13:30~22:30,"시급8,900",03/31
서울 성북구,  노브랜드버거 종로구청점노브랜드버거 종로구청점 평일/주말 근무자 모집스크랩요약보기새창보기,시간협의,"시급8,900",03/30
서울 은평구,  신세계푸드 데블스다이너 고양점고양 데블스다이너(홀서비스) 주3일 ~ 4일(주말포함) 단기 아르바이트 모집스크랩요약보기새창보기,13:00~22:00,"시급11,000",03/28
경기 고양시,  신세계푸드 데블스다이너 고양점고양 데블스다이너(홀서비스) 주3일 ~ 4일(주말포함) 단기 아르바이트 모집스크랩요약보기새창보기,13:00~22:00,"시급11,000",03/28
경기 고양시,  신세계푸드 데블스다이너 고양점고양 데블스다이너(홀서비스) 주3일 ~ 4일(주말포함) 단기 아르바이트 모집스크랩요약보기새창보기,13:00~22:00,"시급11,000",03/28
경기 고양시,  신세계푸드 데블스다이너 고양점고양 데블스다이너(홀서비스) 주3일 ~ 4일(주말포함) 단기 아르바이트 모집스크랩요약보기새창보기,13:00~22:00,"시급11,000",03/28
서울 강남구,  노브랜드버거 대치대원빌딩점노브랜드버거 대치대원빌딩점 주3~5일 근무자 모집(시간/요일 협의)스크랩요약보기새창보기,13:30~22:30,"시급8,900",03/26
경기 김포시,  보노보노M 김포한강점보노보노M 김포한강점 주방직원 채용 공고스크랩요약보기새창보기,13:00~22:00,"월급1,860,100",03/26
경기 김포시,  보노보노M 김포한강점보노보노M 김포한강점 주말 홀서비스 파트타이머 모집스크랩요약보기새창보기,13:00~22:00,"시급8,900",03/26
서울 금천구,  신세계푸드 NBB 가산디지털단지점노브랜드버거 가산디지털단지점 파트타이머 모집스크랩요약보기새창보기,14:00~22:30,"시급8,900",03/24
서울 강남구,  노브랜드버거 대치대원빌딩점노브랜드버거 대치대원빌딩점 주3~5일 근무자 모집(시간/요일 협의가능)스크랩요약보기새창보기,13:30~22:30,"시급8,900",03/23
